Cycle,Geometric Precision,Assembly Efficiency,Precision Change
1,0.34872214000867113,0.9092142384187516,0
2,0.2541360268710011,0.8957744012762388,0
3,0.44242556412742495,0.881590356627554,1
4,0.3758489309205583,0.9299220934192118,0
5,0.3436870326435573,0.8830095658806084,0
6,0.46789375133388045,0.8984848778122227,1
7,0.3586622957992118,0.8656092073043915,0
8,0.41757876393056254,0.8833597425090132,1
9,0.36937238339899037,0.9317065505620046,0
10,0.3384694629803006,0.9472270334821151,0
11,0.4398229124195541,0.941586062799862,1
12,0.4871999845424082,0.9416814377402855,1
13,0.4398099635542868,0.9155779799019769,0
14,0.4261084899556221,0.9011558433631511,0
15,0.49899023395997777,0.8696224454609714,1
16,0.5088865626158043,0.8876388754521128,1
17,0.48453429334912523,0.9064540065442258,0
18,0.48219868823632644,0.8705507397051551,0
19,0.45480021313953595,0.9033962468869159,0
20,0.5137869041107992,0.9233229503155627,1
21,0.5088127959677159,0.8810114297767954,0
22,0.5528562708635102,0.9186240796731433,1
23,0.45196433516628953,0.8703704753062145,0
24,0.34977360891751613,0.9058054268347697,0
25,0.4465193378856119,0.9221624052903837,1
26,0.3901793910097823,0.8691447478932374,0
27,0.36834687938923844,0.9005444370940863,0
28,0.4911137876290729,0.8507179080772465,1
29,0.4613829165750858,0.9491606298475186,0
30,0.4675183103837344,0.8674039278681647,1
31,0.3671154752802384,0.9420226328098376,0
32,0.44937602977440383,0.8690734269555644,1
33,0.49717720251461267,0.9152747160900756,1
34,0.4223660055225708,0.9369742315130655,0
35,0.5495765883034293,0.9266895795850159,1
36,0.4702937613836074,0.9296146114136051,0
37,0.4888691272427419,0.8994604372657027,1
38,0.5005328314638998,0.9123728166344675,1
39,0.46932438769524,0.9127665587649455,0
40,0.4275228716280555,0.8734689927625462,0
41,0.5065666928439416,0.8931101721267292,1
42,0.47334167394093646,0.9499699366051622,0
43,0.5897302352502479,0.9018279324423638,1
44,0.6661039022595745,0.9462820069151506,1
45,0.505846112349894,0.853169071115569,0
46,0.4958146806211981,0.9065016043230125,0
47,0.4203697112419632,0.8653195605531767,0
48,0.5226853493130673,0.8870942485734385,1
49,0.5279031401069343,0.9389772994490824,1
50,0.490203535192663,0.8689792898050857,0
51,0.5441881213404159,0.8972414680723882,1
52,0.4116471920593595,0.9265888316430337,0
53,0.5027001700187246,0.9078586725916831,1
54,0.4477383398548602,0.8630109600340454,0
55,0.4834214501975189,0.8761297619657389,1
56,0.5181089575308654,0.8723393826730497,1
57,0.40881496582532995,0.9160830268732193,0
58,0.5381552369409968,0.8787738813802957,1
59,0.5092852412395605,0.9054689806328904,0
60,0.5387787632106057,0.9397654763857615,1
61,0.5600180094202114,0.8586448022594967,1
62,0.4741425363887958,0.9487464255308476,0
63,0.5422523393014893,0.8733497784454043,1
64,0.6342090593981475,0.9109016388577819,1
65,0.5940111300619743,0.9072719738782995,0
66,0.5362118267140177,0.8743994026899393,0
67,0.5678512336418128,0.8540008613531671,1
68,0.5438928295537245,0.869196841328,0
69,0.5323933094239903,0.8573137418103988,0
70,0.6088863818034391,0.9189029264620471,1
71,0.5474581737609158,0.9096921256901158,0
72,0.5278228160872627,0.939021381200353,0
73,0.6243231931257296,0.8584285521001962,1
74,0.4964725951493578,0.9437760313493032,0
75,0.5446524860532816,0.895082570613157,1
76,0.5339939432134412,0.8784724575665874,0
77,0.5248604330284133,0.905170024765979,0
78,0.5105789699628348,0.859243688691445,0
79,0.5749900599704335,0.9169302163988415,1
80,0.5303585307410956,0.916451477297549,0
81,0.5849763317327719,0.9386146836232139,1
82,0.6209175168310308,0.9437948668129872,1
83,0.5690982217468907,0.8639393009696728,0
84,0.5553205199073143,0.9423066372232085,0
85,0.6015164516050403,0.8563104661563552,1
86,0.6225163540470422,0.9024447945868942,1
87,0.5759439916110057,0.9091486356922518,0
88,0.5140112275637536,0.9292025018758747,0
89,0.5107918687608948,0.9221193798995935,0
90,0.505119483009994,0.928292263977841,0
91,0.5719316342709081,0.879899499140238,1
92,0.6211002700034648,0.8753339062432064,1
93,0.5357480369881886,0.8607826162942507,0
94,0.479374260557733,0.8740461834844049,0
